id,name,instructions
119,The Rickenbacker,Combine all ingredients in a mixing glass and stir until proper dilution. Strain into a chilled cocktail glass. Garnish with a sage leaf speared through two cocktail onions.
120,The Douglas Tilden,"Combine all ingredients in a mixing glass with ice, stir and strain into a chilled cocktail glass. Garnish with a lemon twist and the edible flower of your choice."
121,Willow,"Combine all ingredients in a mixing glass, add ice and stir. Strain into a chilled coupe glass and garnish with a Luxardo Maraschino Cherry."
122,Sahara Glowing Heart,"Combine all ingredients in a mixing glass, add ice and then stir. Strain into a Nick & Nora glass and garnish with a lemon twist."
123,Nori & Islay,"Combine all ingredients in a mixing glass, stir, and strain into a chilled Nick & Nora glass. Garnish with a picked cucumber ribbon.

*Nori-Infused Sake: 
-- Ginjo Sake
-- Nori Seaweed Sheet

Using an Oji Style Cold Brew Coffee Maker, drip Ginjo sake through a 0.5 gram of nori seaweed sheet that has been hand-shredded. It takes 3 hours to infuse a 750 ml bottle."
124,You Bet Your Ascot,Combine all ingredients in a mixing glass. Stir until 2 oz water is diluted. Strain into a sherry or nosing glass. Flame and discard an orange peel. Drink deeply.
125,Speyside Orchard,"Combine all ingredients in a mixing tin. Shake and strain into a collins glass full of crushed ice. Garnish with apple slices.

*Chamomile Tea Syrup: 
-- 2 c water
-- 1 c chamomile flower
-- 1 c sugar
Bring 1 cup water to boil.
Add 1 cup chamomile flower and 1 more cup of water, bring back to a boil.
Add 1 cup sugar, bring to boil. 
Let it rest. When cool, the syrup is ready."
126,Chippendale Rosetone,"Combine all ingredients in a punch bowl, add a large chunk or block of ice, garnish with lemon wheels and apple slices. Serve when punch is chilled."
127,La Hops Vie,"Combine all ingredients in a shaker and shake until proper dilution. Double strain into a chilled martini or coupe glass and garnish with 2 fresh basil leaves that have been lightly ""spanked"" to release aromatics."
128,Cap't of the Seven Seas,Combine all ingredients in a shaker tin and shake vigorously. Double strain using a fine mesh strainer. Serve in a lager glass over ice.
129,Boko Buku,Combine all ingredients in a shaker tin and shake vigorously. Double strain with a fine mesh strainer into a highball glass.
130,Chapman Cobbler,Combine all ingredients in a shaker tin filled with crushed ice. Flash-shake and dump into a double old fashioned glass. Garnish.
131,Baile de Verano,"Combine all ingredients in a shaker tin, add ice, and shake vigorously. Double strain with a fine mesh strainer into a highball glass."
132,Peter Pumpkin,"Combine all ingredients in a shaker, except the apple cider. Shake vigorously. Strain over ice. Top with apple cider. Garnish with shaved cinnamon and nutmeg."
133,A Botanical Garden,"Combine all ingredients in a shaking tin and give it a short shake, five seconds. Strain into an old fashined glass with three medium sized ice cubes."
134,The Bossa Nova,"Combine all ingredients in a shaking tin or mixing glass and vigorously shake without ice for 10 seconds. Add ice, and shake for another 8 seconds. Strain over larger ice cube or into a cocktail glass and add freshly grated cinnamon on top.

*Vanilla Syrup: 
Split 1 vanilla pod lengthwise and scrape interior into a heavy sauce pan. 
Add 2 c. raw sugar and 2 c. water. Bring to a simmer and reduce heat to low. 
Cook for 5 mins and stir occasionally. 
Remove from heat and keep unstrained for 24 hrs. 
Strain through a cheese cloth and bottle. Keeps for 2 weeks.

**Coconut Cream:
Combine 1 part Coco Lopez with 1 part rich coconut milk. Mix well."
