recipe_id,synergy_score,conflict_score,final_balance_score,synergy_normalized,conflict_normalized,balance_normalized,conflict_good,sqe_total,n_ingredients,roles_summary,base_count,modifier_count,acid_count,sweetener_count
131,5.6624051748968425,0.0004210526315789,-0.2621127314117683,0.08454275808701013,0.0004210526315789,0.6963185953439411,0.9995789473684211,0.5425863660485127,5,"base:1,modifier:1,acid:1",1.0,1.0,1.0,0.0
132,3.37964099961958,0.0387783667165703,-0.3810388397135825,0.05045985983455954,0.0387783667165703,0.49228133359496684,0.9612216332834297,0.45623483399734277,5,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
133,4.083403421393845,0.0312383706350703,-0.3219092124435661,0.0609674117205607,0.0312383706350703,0.5937279159197967,0.9687616293649297,0.49313382827364216,6,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
134,0.557073952,0.0628736838415785,-0.1878042745527057,0.00831741405035868,0.0628736838415785,0.8238069515914787,0.9371263161584215,0.5316069459451135,4,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
135,4.54287783027218,0.0333436582948167,-0.1206485320825511,0.06782761204129821,0.0333436582948167,0.9390236521124072,0.9666563417051833,0.5988350429617963,5,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
136,3.2978999512146463,0.0502160900223859,-0.1862859363612178,0.04923942196979604,0.0502160900223859,0.8264119100099772,0.9497839099776141,0.5525545147841957,4,"base:1,modifier:1,acid:1,sweetener:1",1.0,1.0,1.0,1.0
137,0.4897017228977757,0.0145263157894736,-0.4696440625136976,0.007311510394431101,0.0145263157894736,0.3402645284127738,0.9854736842105264,0.40064606794476254,2,base:1,1.0,0.0,0.0,0.0
138,1.2117983186433243,0.0807204630661545,-0.2883518284692318,0.018092801369547808,0.0807204630661545,0.6513011169212595,0.9192795369338455,0.47841131670435055,3,"base:1,acid:1",1.0,0.0,1.0,0.0
139,0.6705278800000001,0.0800477691212273,-0.2349505788217672,0.01001134228273739,0.0800477691212273,0.7429197270618542,0.9199522308787726,0.502866124295283,4,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
140,5.037760857849088,0.0969148232110194,-0.2907757927633081,0.07521648210437418,0.0969148232110194,0.6471424082558295,0.9030851767889806,0.49515486835519273,4,"base:1,sweetener:1",1.0,0.0,0.0,1.0
141,4.942328621083787,0.0737401199946419,-0.4051849639814393,0.07379162742560279,0.0737401199946419,0.45085469357610064,0.9262598800053581,0.4426510230446787,3,"base:1,modifier:1,sweetener:1",1.0,1.0,0.0,1.0
