recipe_id,canonical_name,amount,unit,amount_value,amount_ratio_all,amount_rank_all
121,orange flower water,4.0,drop,4.0,0.34782608695652173,1.0
121,mineral water,2.5,oz,2.5,0.21739130434782608,2.0
122,gin,1.0,oz,1.0,0.16666666666666666,2.0
122,angostura bitters,2.0,dash,2.0,0.3333333333333333,1.0
122,calvados,1.0,oz,1.0,0.16666666666666666,2.0
122,vermouth,1.0,oz,1.0,0.16666666666666666,2.0
122,absinthe,1.0,dash,1.0,0.16666666666666666,2.0
123,gin,1.0,oz,1.0,0.2,2.0
123,vermouth,0.75,oz,0.75,0.15,3.0
123,bitter bianco,0.75,oz,0.75,0.15,3.0
123,curacao,0.5,oz,0.5,0.1,4.0
123,bitters,2.0,dash,2.0,0.4,1.0
124,lemon juice,3.5,oz,3.5,0.21875,3.0
124,pineau des charentes,4.0,oz,4.0,0.25,2.0
124,falernum,3.5,oz,3.5,0.21875,3.0
124,rum,5.0,oz,5.0,0.3125,1.0
125,ginger liqueur,0.5,oz,0.5,0.07692307692307693,4.0
125,pineapple juice,1.0,oz,1.0,0.15384615384615385,3.0
125,simple syrup,0.5,oz,0.5,0.07692307692307693,4.0
125,cachaca,1.5,oz,1.5,0.23076923076923078,2.0
125,coconut water,2.0,oz,2.0,0.3076923076923077,1.0
125,soda water,1.0,fill,1.0,0.15384615384615385,3.0
126,lime juice,0.5,part,0.5,0.1639344262295082,2.0
126,fernet,0.25,part,0.25,0.0819672131147541,4.0
126,gin,0.3,l,0.3,0.09836065573770492,3.0
126,cranberry juice,0.5,part,0.5,0.1639344262295082,2.0
126,black tea,1.5,part,1.5,0.49180327868852464,1.0
127,lemon,,oz,,0.0,
127,rum,,oz,,0.0,
127,elderflower liqueur,,oz,,0.0,
127,vanilla syrup,,oz,,0.0,
127,prosecco,,oz,,0.0,
128,lillet blanc,1.0,oz,1.0,0.2857142857142857,1.0
128,bitter bianco,1.0,oz,1.0,0.2857142857142857,1.0
128,gin,1.0,oz,1.0,0.2857142857142857,1.0
128,rose wine,0.5,oz,0.5,0.14285714285714285,2.0
129,cranberry juice,1.5,oz,1.5,0.375,1.0
129,ginger liqueur,1.0,oz,1.0,0.25,2.0
129,lemonade,1.5,oz,1.5,0.375,1.0
130,lemon juice,2.0,l,2.0,0.11764705882352941,2.0
130,rum,7.0,oz,7.0,0.4117647058823529,1.0
130,ginger beer,,top,,,
130,agave syrup,1.0,oz,1.0,0.058823529411764705,3.0
130,watermelon,7.0,oz,7.0,0.4117647058823529,1.0
131,cherry liqueur,0.75,oz,0.75,0.1875,3.0
131,bourbon,1.5,oz,1.5,0.375,1.0
131,strawberry,0.75,oz,0.75,0.1875,3.0
131,balsamic shrub,,,,,
131,tonic water,1.0,oz,1.0,0.25,2.0
132,bitter bianco,0.75,oz,0.75,0.09090909090909091,3.0
132,orange bitters,2.0,dash,2.0,0.24242424242424243,2.0
132,gin,0.75,oz,0.75,0.09090909090909091,3.0
132,milk,0.75,oz,0.75,0.09090909090909091,3.0
132,vanilla,4.0,drop,4.0,0.48484848484848486,1.0
133,pisco,1.25,oz,1.25,0.1282051282051282,3.0
133,ginger liqueur,0.25,oz,0.25,0.02564102564102564,5.0
133,lime juice,0.5,oz,0.5,0.05128205128205128,4.0
133,ginger beer,4.0,oz,4.0,0.41025641025641024,1.0
133,agave nectar,0.25,oz,0.25,0.02564102564102564,5.0
133,cranberry bitters,3.5,drop,3.5,0.358974358974359,2.0
134,pineapple syrup,0.25,oz,0.25,0.047619047619047616,3.0
134,cognac,2.0,oz,2.0,0.38095238095238093,1.0
134,angostura bitters,2.0,dash,2.0,0.38095238095238093,1.0
134,maraschino liqueur,1.0,bsp,1.0,0.19047619047619047,2.0
135,bourbon,2.0,oz,2.0,0.36363636363636365,1.0
135,bitter,0.75,oz,0.75,0.13636363636363635,2.0
135,coffee,0.5,oz,0.5,0.09090909090909091,3.0
135,anisette,0.25,oz,0.25,0.045454545454545456,4.0
135,bitters,2.0,dash,2.0,0.36363636363636365,1.0
136,simple syrup,0.25,oz,0.25,0.06666666666666667,3.0
136,vino chinato,1.5,oz,1.5,0.4,1.0
136,calvados,1.5,oz,1.5,0.4,1.0
136,lemon,0.5,oz,0.5,0.13333333333333333,2.0
137,ginger liqueur,35.0,ml,35.0,0.21875,2.0
137,bitter lemon,125.0,ml,125.0,0.78125,1.0
138,rum,2.0,oz,2.0,0.3333333333333333,1.0
138,pineapple juice,2.0,oz,2.0,0.3333333333333333,1.0
138,coconut water,2.0,oz,2.0,0.3333333333333333,1.0
139,simple syrup,0.25,oz,0.25,0.05263157894736842,3.0
139,whisky,2.0,oz,2.0,0.42105263157894735,1.0
139,sherry,0.5,oz,0.5,0.10526315789473684,2.0
139,bitters,2.0,dash,2.0,0.42105263157894735,1.0
140,whisky,2.0,oz,2.0,0.32,1.0
140,cane syrup,0.25,oz,0.25,0.04,2.0
140,bitters,2.0,dash,2.0,0.32,1.0
140,cinnamon bitters,2.0,dash,2.0,0.32,1.0
141,bourbon,2.0,oz,2.0,0.09090909090909091,2.0
141,amer picon,10.0,ml,10.0,0.45454545454545453,1.0
141,cola syrup,10.0,ml,10.0,0.45454545454545453,1.0
142,maraschino liqueur,0.5,oz,0.5,0.125,2.0
142,lime juice,0.5,oz,0.5,0.125,2.0
142,sparkling water,3.0,oz,3.0,0.75,1.0
143,aperitivo,2.0,oz,2.0,0.3333333333333333,2.0
143,prosecco,3.0,oz,3.0,0.5,1.0
143,sparkling water,1.0,splash,1.0,0.16666666666666666,3.0
144,pisco,1.0,oz,1.0,0.2,2.0
144,maraschino liqueur,1.0,dash,1.0,0.2,2.0
144,bitter bianco,1.0,oz,1.0,0.2,2.0
144,tonic water,2.0,oz,2.0,0.4,1.0
145,soda water,,top,,,
145,cherry syrup,1.0,oz,1.0,0.5,1.0
145,vanilla ice cream,1.0,scoop,1.0,0.5,1.0
146,campari,1.0,oz,1.0,0.3333333333333333,1.0
146,gin,1.0,oz,1.0,0.3333333333333333,1.0
146,sweet vermouth,1.0,oz,1.0,0.3333333333333333,1.0
147,lemon juice,0.75,oz,0.75,0.17647058823529413,2.0
147,ginger liqueur,1.0,oz,1.0,0.23529411764705882,1.0
147,water,,top,,,
147,bitters,1.0,dash,1.0,0.23529411764705882,1.0
147,scotch,1.0,oz,1.0,0.23529411764705882,1.0
147,orange liqueur,0.5,oz,0.5,0.11764705882352941,3.0
148,gin,0.5,oz,0.5,0.13333333333333333,3.0
148,cognac,1.0,oz,1.0,0.26666666666666666,1.0
148,angostura bitters,1.0,dash,1.0,0.26666666666666666,1.0
148,lemon juice,0.75,oz,0.75,0.2,2.0
148,orgeat,0.5,oz,0.5,0.13333333333333333,3.0
149,ginger liqueur,0.67,oz,0.67,0.1181657848324515,3.0
149,lime juice,0.5,oz,0.5,0.08818342151675485,4.0
149,mezcal,1.0,oz,1.0,0.1763668430335097,2.0
149,apple cider,3.0,oz,3.0,0.5291005291005291,1.0
149,raspberry syrup,0.5,oz,0.5,0.08818342151675485,4.0
150,vermouth,0.75,oz,0.75,0.15,3.0
150,bitter,0.75,oz,0.75,0.15,3.0
150,whiskey,1.5,oz,1.5,0.3,2.0
150,chocolate bitters,2.0,dash,2.0,0.4,1.0
151,lime juice,0.5,oz,0.5,0.15384615384615385,2.0
151,maraschino liqueur,0.75,oz,0.75,0.23076923076923078,1.0
151,pineapple juice,0.5,oz,0.5,0.15384615384615385,2.0
151,rum,0.75,oz,0.75,0.23076923076923078,1.0
151,green chartreuse,0.75,oz,0.75,0.23076923076923078,1.0
152,egg white,1.0,,1.0,0.17391304347826086,2.0
152,lime,0.375,oz,0.375,0.06521739130434782,4.0
152,cognac,2.0,oz,2.0,0.34782608695652173,1.0
152,lemon,0.375,oz,0.375,0.06521739130434782,4.0
152,orgeat,0.5,oz,0.5,0.08695652173913043,3.0
152,creme de noyaux,0.5,oz,0.5,0.08695652173913043,3.0
152,heavy cream,1.0,oz,1.0,0.17391304347826086,2.0
153,maraschino liqueur,0.25,oz,0.25,0.08333333333333333,4.0
153,pineau des charentes,0.5,oz,0.5,0.16666666666666666,3.0
153,christmas spirit,1.5,oz,1.5,0.5,1.0
153,bitter,0.75,oz,0.75,0.25,2.0
154,cognac,1.5,oz,1.5,0.45045045045045046,1.0
154,quinquina liqueur,0.5,oz,0.5,0.15015015015015015,3.0
154,falernum,0.33,oz,0.33,0.0990990990990991,4.0
