recipe_id,num_nodes,pair_count,C_flavor,C_role,C_type,C_ratio,C_flavor_norm,C_role_norm,C_type_norm,C_ratio_norm,conflict_score,conflict_normalized
41,3,3,0.06742346141747674,0.0,0.0,0.15456521739130435,0.02247448713915891,0.0,0.0,0.03091304347826087,0.01242234787414937,0.01242234787414937
42,3,3,0.0,0.7199988000011999,0.0,0.0,0.0,0.06923065384626921,0.0,0.0,0.02186231174092712,0.02186231174092712
43,4,6,0.0,0.7199952000191999,0.0,0.07333333333333335,0.0,0.06923030769415384,0.0,0.01466666666666667,0.024949921727978403,0.024949921727978403
44,3,3,0.0,0.7199976000048,0.0,0.055,0.0,0.06923053846199999,0.0,0.011,0.024178064777473682,0.024178064777473682
45,5,10,0.8108274912580992,0.7199976000048,0.6,0.028421052631578948,0.08108274912580991,0.06923053846199999,0.06,0.00568421052631579,0.05702809571085856,0.05702809571085856
46,5,10,0.6414190565097284,2.4,0.0,0.007105263157894737,0.06414190565097284,0.23076923076923075,0.0,0.0014210526315789475,0.09005311175771392,0.09005311175771392
47,4,6,0.34109869680345395,0.0,0.0,0.0,0.056849782800575656,0.0,0.0,0.0,0.014960469158046226,0.014960469158046226
48,5,10,0.8345303323761228,0.0,0.0,0.010000000000000009,0.08345303323761229,0.0,0.0,0.0020000000000000018,0.02238237716779271,0.02238237716779271
49,5,10,0.2582739481865961,0.3,0.0,0.0,0.02582739481865961,0.028846153846153844,0.0,0.0,0.015905994587906373,0.015905994587906373
50,3,3,0.14347115652166903,0.0,0.0,0.060238095238095236,0.04782371884055634,0.0,0.0,0.012047619047619047,0.015121530020697785,0.015121530020697785
101,5,10,0.8523252480091101,2.4,0.6,0.007105263157894737,0.08523252480091101,0.23076923076923075,0.06,0.0014210526315789475,0.10823485363927658,0.10823485363927658
102,5,10,0.28750664201235404,0.7199952000192004,0.0,0.18666666666666673,0.028750664201235406,0.06923030769415388,0.0,0.03733333333333334,0.03728781581602283,0.03728781581602283
103,4,6,0.2847958099518163,0.3199989333347556,0.0,0.03142857142857143,0.04746596832530272,0.03076912820526496,0.0,0.006285714285714286,0.023530919368471605,0.023530919368471605
104,5,10,0.6424160830465626,0.11999880000240015,0.0,0.0,0.06424160830465626,0.011538346154076937,0.0,0.0,0.020549374655144368,0.020549374655144368
105,7,21,0.5630412491490582,0.0,0.0,0.0,0.026811488054717055,0.0,0.0,0.0,0.007055654751241331,0.007055654751241331
106,3,3,0.0,0.0,0.0,0.20857142857142857,0.0,0.0,0.0,0.04171428571428572,0.008781954887218045,0.008781954887218045
107,4,6,0.1931289826796896,2.4,0.0,0.15000000000000005,0.032188163779948264,0.23076923076923075,0.0,0.03000000000000001,0.08766085281658557,0.08766085281658557
108,2,1,0.0,0.0,0.0,0.18000000000000005,0.0,0.0,0.0,0.03600000000000001,0.007578947368421056,0.007578947368421056
109,2,1,0.0,0.0,0.0,0.18000000000000005,0.0,0.0,0.0,0.03600000000000001,0.007578947368421056,0.007578947368421056
110,3,3,0.0,0.7199992000005333,0.0,0.010000000000000009,0.0,0.06923069230774359,0.0,0.0020000000000000018,0.022283376518234817,0.022283376518234817
111,5,10,0.09372158513404028,0.3,0.0,0.0,0.009372158513404028,0.028846153846153844,0.0,0.0,0.011575669244418062,0.011575669244418062
112,2,1,0.0,0.0,0.0,0.135,0.0,0.0,0.0,0.027000000000000003,0.005684210526315791,0.005684210526315791
113,8,28,1.1420366491713945,0.0,0.0,0.056923076923076944,0.04078702318469266,0.0,0.0,0.011384615384615389,0.01313018828746973,0.01313018828746973
114,3,3,0.1281744192888376,2.4,0.0,0.08447368421052631,0.04272480642961254,0.23076923076923075,0.0,0.01689473684210526,0.08767465074378253,0.08767465074378253
115,4,6,0.0,0.7199976000048,0.0,0.0,0.0,0.06923053846199999,0.0,0.0,0.02186227530378947,0.02186227530378947
116,5,10,0.9872775218249807,0.7199952000191999,0.0,0.045000000000000005,0.09872775218249807,0.06923030769415384,0.0,0.009000000000000001,0.049737926688284924,0.049737926688284924
117,7,21,0.7954334510948071,0.0,0.0,0.0,0.037877783385467004,0.0,0.0,0.0,0.009967837733017633,0.009967837733017633
